# t=0開傘 (Up to date)
# 1065 data points written for 8 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (21.4 m/s):  "Parachute"
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral velocity (m/s),Angle of attack (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
3.136,163.695,139.684,46.716,24.319,0.001,25.798,0.043
3.148,165.374,140.22,45.887,24.629,0.001,25.942,0.133
3.151,165.795,140.352,45.68,24.707,0.001,25.979,0.156
3.155,166.427,140.549,45.14,24.824,0.001,26.034,0.194
3.164,167.623,140.914,44.12,25.046,0.001,26.137,0.265
3.167,167.976,141.019,43.035,25.111,0.001,26.167,0.286
3.17,168.505,141.173,42.738,25.21,0.001,26.211,0.316
3.176,169.3,141.403,42.293,25.357,0.001,26.279,0.361
3.184,170.45,141.73,41.65,25.571,0.001,26.377,0.424
3.197,172.296,142.237,39.959,25.915,0.001,26.533,0.519
3.207,173.72,142.611,38.658,26.181,0.001,26.652,0.586
3.222,175.863,143.152,37.251,26.582,0.001,26.829,0.676
3.225,176.293,143.258,36.969,26.663,0.002,26.865,0.692
3.23,176.938,143.414,36.293,26.784,0.002,26.918,0.716
3.238,178.158,143.7,35.015,27.013,0.002,27.017,0.759
3.25,179.885,144.086,33.19,27.338,0.002,27.154,0.812
3.268,182.483,144.629,31.181,27.828,0.002,27.355,0.874
3.271,182.917,144.716,30.846,27.911,0.002,27.388,0.882
3.276,183.569,144.844,30.024,28.034,0.002,27.438,0.894
3.281,184.366,144.995,29.02,28.185,0.002,27.497,0.906
3.289,185.563,145.213,27.998,28.412,0.002,27.584,0.921
3.301,187.271,145.51,26.543,28.737,0.002,27.706,0.939
3.314,189.165,145.811,23.955,29.098,0.002,27.835,0.995
3.332,191.793,146.191,22.415,29.601,0.002,28.008,1.052
3.34,192.963,146.348,20.997,29.825,0.002,28.083,1.07
3.35,194.427,146.53,19.711,30.106,0.002,28.174,1.085
3.363,196.334,146.75,18.412,30.473,0.002,28.287,1.066
3.378,198.537,146.978,16.213,30.899,0.002,28.412,1.028
3.398,201.479,147.242,14.257,31.468,0.002,28.565,0.954
3.409,203.099,147.365,12.193,31.783,0.002,28.642,0.881
3.425,205.532,147.521,10.507,32.256,0.002,28.746,0.751
3.431,206.344,147.567,9.946,32.415,0.002,28.778,0.705
3.439,207.561,147.63,9.126,32.652,0.002,28.824,0.634
3.447,208.706,147.685,8.357,32.876,0.002,28.865,0.564
3.459,210.423,147.756,7.303,33.212,0.002,28.921,0.433
3.465,211.365,147.791,6.721,33.396,0.002,28.949,0.356
3.472,212.4,147.82,4.795,33.599,0.002,28.977,0.27
3.483,213.952,147.85,3.999,33.903,0.002,29.012,0.141
3.495,215.8,147.876,3.081,34.266,0.002,29.048,0.013
3.514,218.573,147.895,2.088,34.811,0.002,29.091,0.136
3.523,219.941,147.896,1.828,35.08,0.002,29.109,0.176
3.537,221.993,147.885,1.966,35.485,0.002,29.131,0.233
3.546,223.342,147.869,2.411,35.75,0.002,29.143,0.268
3.56,225.366,147.835,2.919,36.149,0.002,29.157,0.361
3.577,227.925,147.779,3.697,36.654,0.002,29.167,0.493
3.602,231.618,147.667,5.303,37.383,0.003,29.166,0.657
3.633,236.193,147.466,7.775,38.287,0.003,29.141,0.784
3.666,241.055,147.205,8.279,39.248,0.003,29.097,0.849
3.694,245.173,146.949,10.248,40.062,0.003,29.051,0.846
3.725,249.724,146.627,10.884,40.962,0.003,28.993,0.812
3.748,253.093,146.369,11.927,41.628,0.003,28.948,0.755
3.778,257.479,146.006,12.568,42.496,0.003,28.89,0.632
3.823,264.036,145.428,13.378,43.794,0.003,28.813,0.284
3.837,266.071,145.239,13.644,44.197,0.003,28.795,0.138
3.858,269.118,144.951,13.894,44.802,0.003,28.774,0.069
3.875,271.58,144.713,14.098,45.291,0.003,28.762,0.218
3.9,275.266,144.35,14.385,46.024,0.004,28.751,0.425
